networkCost,executionSpeed,schedulerClassName,jobGraphCalssName,instanceSetClassName,modelSolveTime [ms]
15.0,233.0,SpyableFlinkScheduler,SimpleJobGraph(116),"CentralAndEdgeInstances(4,32,60)",0
0.0,281.0,SpyableGeoScheduler,SimpleJobGraph(120),"CentralAndEdgeInstances(4,33,62)",281000
16.0,241.0,SpyableFlinkScheduler,SimpleJobGraph(120),"CentralAndEdgeInstances(4,33,62)",0
0.0,290.0,SpyableGeoScheduler,SimpleJobGraph(124),"CentralAndEdgeInstances(4,34,64)",290000
14.0,249.0,SpyableFlinkScheduler,SimpleJobGraph(124),"CentralAndEdgeInstances(4,34,64)",0
0.0,299.0,SpyableGeoScheduler,SimpleJobGraph(128),"CentralAndEdgeInstances(4,35,66)",299000
19.0,257.0,SpyableFlinkScheduler,SimpleJobGraph(128),"CentralAndEdgeInstances(4,35,66)",0
0.0,308.0,SpyableGeoScheduler,SimpleJobGraph(132),"CentralAndEdgeInstances(4,36,68)",308000
19.0,265.0,SpyableFlinkScheduler,SimpleJobGraph(132),"CentralAndEdgeInstances(4,36,68)",0
0.0,317.0,SpyableGeoScheduler,SimpleJobGraph(136),"CentralAndEdgeInstances(4,37,70)",317000
19.0,273.0,SpyableFlinkScheduler,SimpleJobGraph(136),"CentralAndEdgeInstances(4,37,70)",0
0.0,326.0,SpyableGeoScheduler,SimpleJobGraph(140),"CentralAndEdgeInstances(4,38,72)",326000
19.0,281.0,SpyableFlinkScheduler,SimpleJobGraph(140),"CentralAndEdgeInstances(4,38,72)",0
0.0,335.0,SpyableGeoScheduler,SimpleJobGraph(144),"CentralAndEdgeInstances(4,39,74)",335000
19.0,289.0,SpyableFlinkScheduler,SimpleJobGraph(144),"CentralAndEdgeInstances(4,39,74)",0
0.0,344.0,SpyableGeoScheduler,SimpleJobGraph(148),"CentralAndEdgeInstances(4,40,76)",344000
22.0,297.0,SpyableFlinkScheduler,SimpleJobGraph(148),"CentralAndEdgeInstances(4,40,76)",0
0.0,353.0,SpyableGeoScheduler,SimpleJobGraph(152),"CentralAndEdgeInstances(4,41,78)",353000
24.0,305.0,SpyableFlinkScheduler,SimpleJobGraph(152),"CentralAndEdgeInstances(4,41,78)",0
0.0,362.0,SpyableGeoScheduler,SimpleJobGraph(156),"CentralAndEdgeInstances(4,42,80)",362000
21.0,313.0,SpyableFlinkScheduler,SimpleJobGraph(156),"CentralAndEdgeInstances(4,42,80)",0
0.0,371.0,SpyableGeoScheduler,SimpleJobGraph(160),"CentralAndEdgeInstances(4,43,82)",371000
23.0,321.0,SpyableFlinkScheduler,SimpleJobGraph(160),"CentralAndEdgeInstances(4,43,82)",0
0.0,380.0,SpyableGeoScheduler,SimpleJobGraph(164),"CentralAndEdgeInstances(4,44,84)",380000
24.0,329.0,SpyableFlinkScheduler,SimpleJobGraph(164),"CentralAndEdgeInstances(4,44,84)",0
0.0,389.0,SpyableGeoScheduler,SimpleJobGraph(168),"CentralAndEdgeInstances(4,45,86)",389000
24.0,337.0,SpyableFlinkScheduler,SimpleJobGraph(168),"CentralAndEdgeInstances(4,45,86)",0
0.0,398.0,SpyableGeoScheduler,SimpleJobGraph(172),"CentralAndEdgeInstances(4,46,88)",398000
23.0,345.0,SpyableFlinkScheduler,SimpleJobGraph(172),"CentralAndEdgeInstances(4,46,88)",0
0.0,407.0,SpyableGeoScheduler,SimpleJobGraph(176),"CentralAndEdgeInstances(4,47,90)",407000
25.0,353.0,SpyableFlinkScheduler,SimpleJobGraph(176),"CentralAndEdgeInstances(4,47,90)",0
0.0,416.0,SpyableGeoScheduler,SimpleJobGraph(180),"CentralAndEdgeInstances(4,48,92)",416000
26.0,361.0,SpyableFlinkScheduler,SimpleJobGraph(180),"CentralAndEdgeInstances(4,48,92)",0
0.0,425.0,SpyableGeoScheduler,SimpleJobGraph(184),"CentralAndEdgeInstances(4,49,94)",425000
28.0,369.0,SpyableFlinkScheduler,SimpleJobGraph(184),"CentralAndEdgeInstances(4,49,94)",0
0.0,434.0,SpyableGeoScheduler,SimpleJobGraph(188),"CentralAndEdgeInstances(4,50,96)",434000
29.0,377.0,SpyableFlinkScheduler,SimpleJobGraph(188),"CentralAndEdgeInstances(4,50,96)",0
0.0,443.0,SpyableGeoScheduler,SimpleJobGraph(192),"CentralAndEdgeInstances(4,51,98)",443000
29.0,385.0,SpyableFlinkScheduler,SimpleJobGraph(192),"CentralAndEdgeInstances(4,51,98)",0
-1.0,452.0,SpyableGeoScheduler,SimpleJobGraph(196),"CentralAndEdgeInstances(4,52,100)",452000
31.0,393.0,SpyableFlinkScheduler,SimpleJobGraph(196),"CentralAndEdgeInstances(4,52,100)",0
0.0,461.0,SpyableGeoScheduler,SimpleJobGraph(200),"CentralAndEdgeInstances(4,53,102)",461000
30.0,401.0,SpyableFlinkScheduler,SimpleJobGraph(200),"CentralAndEdgeInstances(4,53,102)",0
0.0,470.0,SpyableGeoScheduler,SimpleJobGraph(204),"CentralAndEdgeInstances(4,54,104)",470000
28.0,409.0,SpyableFlinkScheduler,SimpleJobGraph(204),"CentralAndEdgeInstances(4,54,104)",0
0.0,479.0,SpyableGeoScheduler,SimpleJobGraph(208),"CentralAndEdgeInstances(4,55,106)",479000
33.0,417.0,SpyableFlinkScheduler,SimpleJobGraph(208),"CentralAndEdgeInstances(4,55,106)",0
0.0,488.0,SpyableGeoScheduler,SimpleJobGraph(212),"CentralAndEdgeInstances(4,56,108)",488000
31.0,425.0,SpyableFlinkScheduler,SimpleJobGraph(212),"CentralAndEdgeInstances(4,56,108)",0
-1.0,497.0,SpyableGeoScheduler,SimpleJobGraph(216),"CentralAndEdgeInstances(4,57,110)",497000
34.0,433.0,SpyableFlinkScheduler,SimpleJobGraph(216),"CentralAndEdgeInstances(4,57,110)",0
0.0,506.0,SpyableGeoScheduler,SimpleJobGraph(220),"CentralAndEdgeInstances(4,58,112)",506000
33.0,441.0,SpyableFlinkScheduler,SimpleJobGraph(220),"CentralAndEdgeInstances(4,58,112)",0
0.0,515.0,SpyableGeoScheduler,SimpleJobGraph(224),"CentralAndEdgeInstances(4,59,114)",515000
35.0,449.0,SpyableFlinkScheduler,SimpleJobGraph(224),"CentralAndEdgeInstances(4,59,114)",0
0.0,524.0,SpyableGeoScheduler,SimpleJobGraph(228),"CentralAndEdgeInstances(4,60,116)",524000
32.0,457.0,SpyableFlinkScheduler,SimpleJobGraph(228),"CentralAndEdgeInstances(4,60,116)",0
0.0,524.0,SpyableGeoScheduler,"SimpleJobGraph(228,4)","CentralAndEdgeInstances(4,60,116)",524000
36.0,457.0,SpyableFlinkScheduler,"SimpleJobGraph(228,4)","CentralAndEdgeInstances(4,60,116)",0
0.0,614.0,SpyableGeoScheduler,"SimpleJobGraph(258,4)","CentralAndEdgeInstances(4,70,136)",614000
35.0,517.0,SpyableFlinkScheduler,"SimpleJobGraph(258,4)","CentralAndEdgeInstances(4,70,136)",0
0.0,704.0,SpyableGeoScheduler,"SimpleJobGraph(288,4)","CentralAndEdgeInstances(4,80,156)",704000
34.0,577.0,SpyableFlinkScheduler,"SimpleJobGraph(288,4)","CentralAndEdgeInstances(4,80,156)",0
0.0,794.0,SpyableGeoScheduler,"SimpleJobGraph(318,4)","CentralAndEdgeInstances(4,90,176)",794000
38.0,637.0,SpyableFlinkScheduler,"SimpleJobGraph(318,4)","CentralAndEdgeInstances(4,90,176)",0
0.0,884.0,SpyableGeoScheduler,"SimpleJobGraph(348,4)","CentralAndEdgeInstances(4,100,196)",884000
40.0,697.0,SpyableFlinkScheduler,"SimpleJobGraph(348,4)","CentralAndEdgeInstances(4,100,196)",0
0.0,974.0,SpyableGeoScheduler,"SimpleJobGraph(378,4)","CentralAndEdgeInstances(4,110,216)",974000
42.0,757.0,SpyableFlinkScheduler,"SimpleJobGraph(378,4)","CentralAndEdgeInstances(4,110,216)",0
0.0,1064.0,SpyableGeoScheduler,"SimpleJobGraph(408,4)","CentralAndEdgeInstances(4,120,236)",1064000
42.0,817.0,SpyableFlinkScheduler,"SimpleJobGraph(408,4)","CentralAndEdgeInstances(4,120,236)",0
0.0,1154.0,SpyableGeoScheduler,"SimpleJobGraph(438,4)","CentralAndEdgeInstances(4,130,256)",1154000
46.0,877.0,SpyableFlinkScheduler,"SimpleJobGraph(438,4)","CentralAndEdgeInstances(4,130,256)",0
0.0,1244.0,SpyableGeoScheduler,"SimpleJobGraph(468,4)","CentralAndEdgeInstances(4,140,276)",1244000
48.0,937.0,SpyableFlinkScheduler,"SimpleJobGraph(468,4)","CentralAndEdgeInstances(4,140,276)",0
0.0,1244.0,SpyableGeoScheduler,"SimpleJobGraph(468,4)","CentralAndEdgeInstances(4,140,276)",1244000
48.0,937.0,SpyableFlinkScheduler,"SimpleJobGraph(468,4)","CentralAndEdgeInstances(4,140,276)",0
0.0,1334.0,SpyableGeoScheduler,"SimpleJobGraph(498,4)","CentralAndEdgeInstances(4,150,296)",1334000
50.0,997.0,SpyableFlinkScheduler,"SimpleJobGraph(498,4)","CentralAndEdgeInstances(4,150,296)",0
0.0,1424.0,SpyableGeoScheduler,"SimpleJobGraph(528,4)","CentralAndEdgeInstances(4,160,316)",1424000
52.0,1057.0,SpyableFlinkScheduler,"SimpleJobGraph(528,4)","CentralAndEdgeInstances(4,160,316)",0
0.0,1514.0,SpyableGeoScheduler,"SimpleJobGraph(558,4)","CentralAndEdgeInstances(4,170,336)",1514000
54.0,1117.0,SpyableFlinkScheduler,"SimpleJobGraph(558,4)","CentralAndEdgeInstances(4,170,336)",0
0.0,1604.0,SpyableGeoScheduler,"SimpleJobGraph(588,4)","CentralAndEdgeInstances(4,180,356)",1604000
56.0,1177.0,SpyableFlinkScheduler,"SimpleJobGraph(588,4)","CentralAndEdgeInstances(4,180,356)",0
0.0,1694.0,SpyableGeoScheduler,"SimpleJobGraph(618,4)","CentralAndEdgeInstances(4,190,376)",1694000
56.0,1237.0,SpyableFlinkScheduler,"SimpleJobGraph(618,4)","CentralAndEdgeInstances(4,190,376)",0
0.0,1784.0,SpyableGeoScheduler,"SimpleJobGraph(648,4)","CentralAndEdgeInstances(4,200,396)",1784000
60.0,1297.0,SpyableFlinkScheduler,"SimpleJobGraph(648,4)","CentralAndEdgeInstances(4,200,396)",0
0.0,36.0,SpyableGeoScheduler,"SimpleJobGraph(4,4)","CentralAndEdgeInstances(4,4,4)",3
0.0,9.0,SpyableFlinkScheduler,"SimpleJobGraph(4,4)","CentralAndEdgeInstances(4,4,4)",0
0.0,44.0,SpyableGeoScheduler,"SimpleJobGraph(5,4)","CentralAndEdgeInstances(4,6,5)",3
0.0,11.0,SpyableFlinkScheduler,"SimpleJobGraph(5,4)","CentralAndEdgeInstances(4,6,5)",0
0.0,52.0,SpyableGeoScheduler,"SimpleJobGraph(6,4)","CentralAndEdgeInstances(4,8,6)",4
0.0,13.0,SpyableFlinkScheduler,"SimpleJobGraph(6,4)","CentralAndEdgeInstances(4,8,6)",0
0.0,60.0,SpyableGeoScheduler,"SimpleJobGraph(7,4)","CentralAndEdgeInstances(4,10,7)",4
0.0,36.0,SpyableGeoScheduler,"SimpleJobGraph(4,4)","CentralAndEdgeInstances(4,4,4)",3
